Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 12 
block_start,block_end,average_distance
1,13,0.47761173470938717
2,14,0.45758507873297666
3,15,0.3891929299914883
4,16,0.18806071596850682
5,17,0.14149112924063717
6,18,0.12268755129803016
7,19,0.11439294481091926
8,20,0.10740251949325146
9,21,0.09812006968932394
10,22,0.09634435037694553
11,23,0.09585060683669747
12,24,0.09598550165673637
13,25,0.09449892749118434
14,26,0.4866549124513619
Layer 13 to 25 is the best block to prune.
