Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 5 
block_start,block_end,average_distance
1,6,0.4113617537086576
2,7,0.41810839463764593
3,8,0.3623046875
4,9,0.16799986130532588
5,10,0.1202588508101289
6,11,0.08321169842078065
7,12,0.06605589157876338
8,13,0.06060511963840588
9,14,0.05090177662177772
10,15,0.0525979958619589
11,16,0.06004458178805934
12,17,0.0668897220596729
13,18,0.07738937199811527
14,19,0.08403234815783074
15,20,0.08200702593020429
16,21,0.08142446080070526
17,22,0.07539373613053259
18,23,0.06968184296723005
19,24,0.06797238361046935
20,25,0.06756502737794869
21,26,0.4442038925705253
Layer 9 to 14 is the best block to prune.
